trajectory_id,seed,condition,task_id,dialog_trajectory,mechanism_trace,db_match,exact_mutation,agent_cost_usd,user_simulator_cost_usd,episode_wall_seconds,dialog_sha256,mechanism_sha256
seed_976301_C0_NATIVE_task_000,976301,C0_NATIVE,0,dialog_trajectories/seed_976301/C0_NATIVE/task_000.json,mechanism_traces/seed_976301/C0_NATIVE/task_000.json,0,0,0.00657598,0.009873999999999999,38.42837466701167,bf50179b3167a79e10d1e5bc19715b519d8eb0b351fba3c7aaa2a7c83181dcd1,fe13d4f84c75808d4982cc36a9cc3771451448ee5c88d16afe7fdbb2c804a84b
seed_976301_C0_NATIVE_task_001,976301,C0_NATIVE,1,dialog_trajectories/seed_976301/C0_NATIVE/task_001.json,mechanism_traces/seed_976301/C0_NATIVE/task_001.json,1,1,0.0062941,0.010634,37.35356970800785,6aa90ea0b2c43b124bb810b2b1a176df01d142f9ea2741a330665b9cca127942,bb9c9232c53960104afa57e14b6297567bdf643687e80c4cdba1199b2da29288
seed_976301_C0_NATIVE_task_002,976301,C0_NATIVE,2,dialog_trajectories/seed_976301/C0_NATIVE/task_002.json,mechanism_traces/seed_976301/C0_NATIVE/task_002.json,1,1,0.00927984,0.022148,47.72881320799934,838066d1e997a259228ddf03cfb3f777ce9d7518958f4a950bf36b7974d9b3da,b724c0ac2c114863f647b85fe9ef14b080e4f5223f8b8b47d40949723e15c547
seed_976301_C0_NATIVE_task_003,976301,C0_NATIVE,3,dialog_trajectories/seed_976301/C0_NATIVE/task_003.json,mechanism_traces/seed_976301/C0_NATIVE/task_003.json,1,1,0.00928462,0.011902,48.01405708299717,0f543d4efcde435097904c06f3c80fb506f0d730aab9177cdba734d47d2265f6,21d0be1ba354c21a617444178be5f194d786db491e85c37ed9d5d1994ea2812f
seed_976301_C0_NATIVE_task_004,976301,C0_NATIVE,4,dialog_trajectories/seed_976301/C0_NATIVE/task_004.json,mechanism_traces/seed_976301/C0_NATIVE/task_004.json,1,1,0.0071604600000000004,0.01213,35.31166291600675,3d021783a5cca301203130172808c990e294459db72dba181072f37a0bce44cc,19c59182aab34847aa77bfc24924282056663e19c036e8b8ad1897361e4c135c
seed_976301_C0_NATIVE_task_005,976301,C0_NATIVE,5,dialog_trajectories/seed_976301/C0_NATIVE/task_005.json,mechanism_traces/seed_976301/C0_NATIVE/task_005.json,1,1,0.007600399999999999,0.015761999999999998,38.2179754999961,32ba4e9e1e5493ed48bb75c472a5c90dac2e9e0b54401eefe7ddb5b2e47f5e99,998a3b2b3f128c2f5d6c0a611c67450c17fd1409fd874f412547cb2b41e2fd95
seed_976301_C0_NATIVE_task_006,976301,C0_NATIVE,6,dialog_trajectories/seed_976301/C0_NATIVE/task_006.json,mechanism_traces/seed_976301/C0_NATIVE/task_006.json,1,1,0.00807857,0.018535999999999997,165.54400995900505,3c4df2f4bdf9c4a6bcba599c967418a34f48b4139833b1c7219f2087f149b748,63b7193b1dea87a1fc5e133b2ad8a6f533d6502a2122c623dea9a2bf00a73238
seed_976301_C0_NATIVE_task_007,976301,C0_NATIVE,7,dialog_trajectories/seed_976301/C0_NATIVE/task_007.json,mechanism_traces/seed_976301/C0_NATIVE/task_007.json,0,0,0.009634470000000001,0.01883,57.29957716699573,ec0e8bf3466e37f864c8de8cd0ea338afff581d39758be0021a9360b947563c8,43ac916dbeaac7f90d921df378c73917ef140f1174ff10cc6bacd71643fa2844
seed_976301_C0_NATIVE_task_008,976301,C0_NATIVE,8,dialog_trajectories/seed_976301/C0_NATIVE/task_008.json,mechanism_traces/seed_976301/C0_NATIVE/task_008.json,1,1,0.0073564400000000005,0.015691999999999998,44.37711883400334,3118dcf8abda2e7e0c514e73e8578f83dd738e8585499ecf96b8dc1ed853339e,321b29cef9358aa0ee574779a1bf3f9b4828415a53f51efaee9cae2df5df27ae
seed_976301_C0_NATIVE_task_009,976301,C0_NATIVE,9,dialog_trajectories/seed_976301/C0_NATIVE/task_009.json,mechanism_traces/seed_976301/C0_NATIVE/task_009.json,1,1,0.011335740000000002,0.020306,56.885834291009814,7cf70b6b3c51c70b2b42f29b77604b5aba0c32dec11bf76dc2f0eb0b7d227a8a,d4814d75f4db26d80509d7c293916f469f56fa06478bdb080de25b03e518af08
seed_976301_C0_NATIVE_task_010,976301,C0_NATIVE,10,dialog_trajectories/seed_976301/C0_NATIVE/task_010.json,mechanism_traces/seed_976301/C0_NATIVE/task_010.json,1,1,0.0025631300000000003,0.008615999999999999,19.082284332995187,f0fef96808da458c604b3165215aa435c1516aeb12aa68a4fb75b0a32e1a885e,95a11edbeb2677fcb84291c0c16f6d0926a7ee61304da2141865220bd49e15e9
seed_976301_C0_NATIVE_task_011,976301,C0_NATIVE,11,dialog_trajectories/seed_976301/C0_NATIVE/task_011.json,mechanism_traces/seed_976301/C0_NATIVE/task_011.json,1,1,0.00523874,0.011835999999999998,33.04256199998781,6377adfb657ffe93355833a883addfbf3d67e49b62ab35c5ebac812d0c7e65b8,b0167fd4bdc726aefdf61e88ad98d20eb878ba08d7a93afbe2b5cdb3022f2385
seed_976301_C0_NATIVE_task_012,976301,C0_NATIVE,12,dialog_trajectories/seed_976301/C0_NATIVE/task_012.json,mechanism_traces/seed_976301/C0_NATIVE/task_012.json,1,1,0.00544887,0.012242,36.992147750002914,db3d8c3a4b3e698d1bba92152b658f5894518cd4cb82201bf4f3762583695b9e,6630149c3480c49c326bb97789ceb107758d4eb567971cdae7ba430691d29bf7
seed_976301_C0_NATIVE_task_013,976301,C0_NATIVE,13,dialog_trajectories/seed_976301/C0_NATIVE/task_013.json,mechanism_traces/seed_976301/C0_NATIVE/task_013.json,1,1,0.00481115,0.013238,30.2968786249985,c73c983fde375fcc01d8e48ad1980a270f944f85c03e239b5be8a44c36d8a26a,cebcc67b355dcfcadebe2b17fc4d6e1a643287899b5ad40529ff211862ae06cd
